TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
320591273128,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fscfsmetadataserver.inf_amd64_11f322de78
320593317857,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fscompression.inf_amd64_5cf46cb233d22d5a
320595489150,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fscontentscreener.inf_amd64_5ffef2bb74e9
320597137395,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fscontinuousbackup.inf_amd64_9ff70c1e6a9
320598402916,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fscopyprotection.inf_amd64_ae0e1e905db5e
320600702442,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsencryption.inf_amd64_d6baf91c726ab7d2
320602442387,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fshsm.inf_amd64_7a9976a3076977da
320604317330,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsinfrastructure.inf_amd64_c037dbdb49a97
320606005869,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsopenfilebackup.inf_amd64_a388da4afb806
320608819313,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsphysicalquotamgmt.inf_amd64_bb70ae85b7
320611683485,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsquotamgmt.inf_amd64_f128b2e0c4bd0201
320613922491,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsreplication.inf_amd64_1cfff521adc147ee
320615692277,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fssecurityenhancer.inf_amd64_da6cf78682a
320617552567,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fssystem.inf_amd64_bb5f9b492fa899f8
320619440146,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fssystemrecovery.inf_amd64_dc2c9a72f28a8
320623529574,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsundelete.inf_amd64_86592262c7f29060
320626452238,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsvirtualization.inf_amd64_69c1f41d5f7e7
320629071757,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_generic.inf_amd64_caff4163abb47aa2
320632129455,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_hdc.inf_amd64_c0ebc61d9c23e774
320635228905,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_hidclass.inf_amd64_8506cc4bfbf676d6
320637443970,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_i3c.inf_amd64_555f274b6954ee58
320639844205,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_image.inf_amd64_43f2590eca3055df
320642668874,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_infrared.inf_amd64_2e7bb8b4a527afc3
320645038040,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_keyboard.inf_amd64_f84ddf664152466c
320647551501,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_legacydriver.inf_amd64_e26143a04b855bfa
320649912019,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_linedisplay.inf_amd64_79e552cdd8a45eba
320652711901,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_magneticstripereader.inf_amd64_88f511c54
320654952716,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_mcx.inf_amd64_be66e309d2b03cba
320657034914,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_media.inf_amd64_8f1d359554727147
320659165240,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_mediumchanger.inf_amd64_fb5395d55ef4fe7f
320662017823,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_memory.inf_amd64_215153ac26d1985e
320664457708,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_modem.inf_amd64_5e6e2d5876058d67
320666387886,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_monitor.inf_amd64_ff8b2f8923271c1b
320668527949,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_mouse.inf_amd64_e429aa2f6a0898b1
320670931542,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_mtd.inf_amd64_a18552d99d2b9668
320672955463,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_multifunction.inf_amd64_6d05f76e6965146d
320674636725,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_multiportserial.inf_amd64_9b3b58c4cdf341
320676500013,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_net.inf_amd64_64490bb3b4dcbb9a
320678260683,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_netclient.inf_amd64_380cc08d076e92a2
320680621992,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_netdriver.inf_amd64_bf93f45bb756b871
320683106197,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_netservice.inf_amd64_cbac0f4324473ecc
320685077301,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_nettrans.inf_amd64_47740bd5db28c0a9
320686943497,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_nvmedisk.inf_amd64_17bbe5cb4f83d8d9
320688652775,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_pcmcia.inf_amd64_94a68204a2135886
320691031463,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_pnpprinters.inf_amd64_3e58684378072897
320692937721,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_ports.inf_amd64_9a05b4c0b5625663
320694788117,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_primitive.inf_amd64_c58da7a5366176c6
320696452191,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_printer.inf_amd64_80050fa7890ccd6f
320698279714,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_processor.inf_amd64_f6917b1d349b2dc6
320700441915,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_proximity.inf_amd64_06a18c5519c3827f
320702695685,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_ramdisk.inf_amd64_4b093ed50ad95509
320704467400,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_receiptprinter.inf_amd64_6bded54c58ec02c
320706245798,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_sbp2.inf_amd64_edb0b01d7ab17b15
320707906637,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_scmdisk.inf_amd64_daed1638403fafc1
320710261343,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_scmvolume.inf_amd64_b05a2c4c44f4f50d
320712657518,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_scsiadapter.inf_amd64_79babc9746855d3c
320715194547,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_sdhost.inf_amd64_89698e6bc3de5b5c
320719184726,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_securitydevices.inf_amd64_b319a2931b094c
320722906167,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_sensor.inf_amd64_7a4a2176bc350df8
320726038408,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_smartcard.inf_amd64_612395048bca3860
320727743108,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_smartcardfilter.inf_amd64_77064613ef8541
320730079734,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_smartcardreader.inf_amd64_25230a55f710fc
320733829229,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_smrdisk.inf_amd64_4dc28a8926193666
320735828831,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_smrvolume.inf_amd64_7f684f360b851e06
320738188763,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_sslaccel.inf_amd64_3f96dbbe8f40193d
320740601090,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_swcomponent.inf_amd64_1536c854ab7bdc83
320744226904,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_swdevice.inf_amd64_845d51425d14f98b
320746239397,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_system.inf_amd64_0ac3852df6b4de9c
320748691386,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_tapedrive.inf_amd64_b55b234818395e8a
320751172006,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_thermal.inf_amd64_d13f109a8373c403
320753873678,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_ucm.inf_amd64_45725396f8ca26d3
320755428202,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_unknown.inf_amd64_71b2648e90a44e9a
320756786473,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_usb.inf_amd64_a96b7e7764e3cb58
320758178071,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_usbdevice.inf_amd64_034f3f6b76f06ce9
320760720403,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_usbfn.inf_amd64_f656d12263d20a07
320763582922,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_volsnap.inf_amd64_b9f65c72f2ecc42b
320765474052,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_volume.inf_amd64_f4d248b4e5dcd885
320767070597,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_wceusbs.inf_amd64_6da1c632e5c400aa
320769144863,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_wpd.inf_amd64_b436ebf3321c7587
320772148768,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/dal.inf_amd64_af50fdb80983f7bc
320774432283,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/dc1-controller.inf_amd64_a99e7a9d3a329cae
320776210025,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/dc21x4vm.inf_amd64_9512f2b97d63f7fa
320777835925,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/detectionverificationdrv.inf_amd64_7c7f99e
320782174500,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/detectionverificationdrv.inf_amd64_7c7f99e
320794825944,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/devmap.inf_amd64_1993197f4612e967
320796159297,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/digitalmediadevice.inf_amd64_bac9e39c4bfcd
320797632324,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/disk.inf_amd64_25f75282fcc4f125
320799969567,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/display.inf_amd64_34a28de3c87d810f
320802516625,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/displaymux.inf_amd64_da65a70f0c3ce0f3
320804394831,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/displayoverride.inf_amd64_ad2569d6b92e9e9a
320806394059,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/e2xw10x64.inf_amd64_b78633a7607613a0
320808161650,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/eaphost.inf_amd64_229c48e6536dde4f
320811130366,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/ehstorpwddrv.inf_amd64_1d9d14f627d4fd36
